Id,Ime_ucenika,Prezime_ucenika,Datum_rodjenja_ucenika,OIB,Ime_oca,Adresa_ucenika,Postanski_broj,Mjesto,Naziv_zupanije,Naziv_skole,Adresa_skole,Broj_razreda,Slovo_razreda,Naziv_predmeta,Broj_sati_tjedno,Ime_nastavnika,Prezime_nastavnika,Datum_rodjenja_nastavnika,Pocetak_rada,Kraj_rada,Naziv_zvanja,Broj_ocjene
260,Kaile,Edgeson,2010-09-22,75801128595,Vassily,53895 Anzinger Lane,99000,Lashma,Pazinska,Srednja škola More,069 Killdeer Crossing,2,F,Art,2,Karel,Serjent,2026-05-24,2026-01-30,,Visiting professor,1
261,Drew,Pick,2010-06-28,98877129920,Emmanuel,9010 Mandrake Terrace,77000,Outlook,Primorsko-goranska,Osnovna škola Univerzum,1546 Warbler Drive,1,C,Philosophy,3,Irina,Treadwell,2026-03-25,2026-07-23,,Profesor emeritus,2
262,Georges,Dirkin,2011-01-03,87003352414,Alfred,475 Hoffman Alley,12345,Boshkengash,Osječko-baranjska,Srednja škola Supernova,681 Kingsford Crossing,3,G,Environmental Science,4,Olivie,Brill,2025-10-16,2025-09-05,,Docent,4
263,Lavina,Grayston,2010-11-09,39785609408,Thorpe,8901 Golf Trail,88900,Maranganí,Koprivničko-križevačka,Srednja škola Meteor,568 Warrior Alley,2,H,Computer Science,3,Niki,Gresswell,2025-11-18,2025-08-14,,Associate professor,3
264,Reynard,Lamprey,2009-05-23,24455581087,Glendon,91 Goodland Junction,88000,Akita Shi,Istarska,Osnovna škola Šuma,2 Derek Parkway,2,B,Dentistry,5,Crichton,Hall,2026-03-22,2025-09-29,,Predavac,5
265,Pierre,Sorsbie,2008-10-02,85770535898,Saunder,783 Granby Avenue,33400,Tal’ne,Bjelovarsko-bilogorska,Umjetnička škola Oblak,9 Johnson Way,3,E,Accounting,4,Curran,Gauntley,2025-09-04,2026-06-26,,Associate professor,2
266,Aloisia,Burges,2010-09-15,73987168697,Dev,95294 Helena Trail,99000,Lieyu,Koprivničko-križevačka,Srednja škola Planeta,73876 Old Shore Way,4,I,Medicine,2,Kathie,Sproat,2025-11-15,2026-04-19,,Visiting professor,5
267,Suzanne,Jilliss,2012-01-28,82923689216,Bent,56995 Jay Hill,12345,Tampa,Brodsko-posavska,Osnovna škola Saturn,5 Schiller Place,4,E,English,5,Karlie,Najara,2026-05-03,2025-09-08,,Asistent,1
268,Mateo,Henricsson,2008-03-16,86312249217,Delmer,396 Haas Place,66000,Bangluo,Vukovarsko-srijemska,Tehnička škola Oblak,8651 Arkansas Point,1,I,Accounting,5,Bridgette,Schermick,2026-04-23,2026-06-15,,Docent,1
269,Harold,Bartelli,2012-06-14,85204744632,Cecilius,14706 Carioca Point,12345,Yajiwa,Vukovarsko-srijemska,Tehnička škola Jupiter,69 Lawn Trail,2,D,Medicine,1,Jo-anne,Rotherforth,2025-08-21,2025-08-30,,Profesor emeritus,1
270,Mirella,Dikle,2011-01-24,77807717815,Stu,71532 Logan Circle,35000,Rivne,Primorsko-goranska,Srednja škola Brdo,23028 Melby Park,1,D,Engineering,5,Bertrand,Goggan,2025-11-02,2025-12-14,,Asistent,1
271,Tomaso,Simpkins,2012-07-03,37496549867,Krispin,844 Texas Parkway,99000,Sorol,Međimurska,Osnovna škola Crna rupa,33281 Shopko Terrace,1,H,Nursing,4,Tabatha,Crowne,2025-08-07,2025-11-21,,Visiting professor,4
272,Verla,Sandland,2008-11-10,66283942536,Barri,29 Westridge Park,44000,Karlstad,Lika-senjska,Osnovna škola Voda,66188 Meadow Valley Hill,1,G,Architecture,4,Thaddeus,Baughn,2025-08-05,2026-07-04,,Profesor emeritus,4
273,Berton,Stepto,2009-07-26,73119880847,Ashbey,442 Schurz Road,55000,Maloyaroslavets,Dubrovačko-neretvanska,Tehnička škola Jupiter,2525 Lunder Lane,1,C,Architecture,2,Drusie,Leynton,2025-09-08,2025-10-09,,Associate professor,2
274,Regina,Yurchenko,2010-10-01,32148154751,Hyatt,547 Sage Place,11200,San Francisco,Sisačko-moslavačka,Tehnička škola Jupiter,4 Crest Line Way,1,H,Chemistry,3,Donovan,Thoday,2026-01-02,2026-05-25,,Visiting professor,4
275,Montague,Ruckert,2010-04-15,96668377652,Moises,014 Luster Alley,99000,Ishige,Splitsko-dalmatinska,Osnovna škola Cvijet,6 Comanche Terrace,4,I,Law,4,Terra,Swane,2025-11-19,2026-05-04,,Asistent,1
276,Nelly,Gouthier,2009-06-22,17279693466,Shurwood,07 Kingsford Drive,33400,Huata,Bjelovarsko-bilogorska,Osnovna škola Šuma,0 Clarendon Avenue,3,B,Accounting,1,Farica,Arnaez,2026-03-07,2026-04-27,,Assistant professor,5
277,Anna-maria,Longhorn,2010-04-05,10096212303,Niki,57 Rieder Hill,55600,Famões,Dubrovačko-neretvanska,Umjetnička škola Sunce,787 Pearson Hill,4,F,Medicine,2,Hinda,O' Dooley,2026-06-20,2026-03-12,,Docent,3
278,Torr,Francesch,2008-07-30,41812526001,Reidar,7326 Bunting Hill,77800,Limbuš,Vukovarsko-srijemska,Osnovna škola Planina,989 Dawn Circle,2,C,Computer Science,4,Ambur,Simpkiss,2025-11-07,2025-08-09,,Predavac,4
279,Gabriell,Caiger,2011-10-24,50399483695,Ambrose,817 Eggendart Place,99000,Kerasochóri,Varaždinska,Osnovna škola Sunce,50 Kensington Alley,4,H,Art,3,Annie,Trundell,2026-01-14,2025-10-23,,Predavac,1
280,Berri,Cisneros,2009-05-15,42482775057,Felice,9 Calypso Plaza,99000,Kuafeu,Koprivničko-križevačka,Srednja škola Proljeće,52672 Anhalt Court,3,C,Geography,1,Zilvia,Mulran,2026-07-21,2026-04-27,,Associate professor,4
281,Rozanna,Walch,2008-01-11,36750873627,Conn,67366 Birchwood Park,22300,Potulando,Koprivničko-križevačka,Srednja škola Ljeto,29228 Barby Plaza,1,F,Engineering,1,Feliks,Cornick,2025-11-01,2026-06-05,,Visiting professor,5
282,Fairleigh,Lindmark,2011-09-30,74956371178,Zeke,31 Oak Hill,77800,Zbůch,Koprivničko-križevačka,Srednja škola Planeta,8416 Mandrake Park,3,D,Astronomy,3,Nanni,Kilcullen,2026-01-27,2026-07-08,,Lecturer,3
283,Adelaida,Dalbey,2011-12-21,90041188244,Hillary,6 Upham Road,66000,Borok,Zagrebačka,Srednja škola Otok,7 Onsgard Court,1,H,English,3,Rosene,Wontner,2026-04-30,2025-08-27,,Visiting professor,5
284,Robbin,Scrivenor,2010-05-03,60581341442,Mohammed,908 Spohn Road,11000,Sanxixiang,Vukovarsko-srijemska,Tehnička škola Oblak,6 Waxwing Trail,1,D,Anthropology,3,Benedikt,Weaving,2025-12-31,2026-05-07,,Profesor emeritus,5
285,Anjanette,Audritt,2012-04-27,26762116463,Ty,34672 Quincy Center,33400,Sanhe,Sisačko-moslavačka,Srednja škola Ljeto,98 Anniversary Place,2,B,Economics,3,Vivyanne,Lghan,2026-01-13,2025-12-20,,Asistent,1
286,Margaretta,Sturt,2008-10-10,85705757656,Westbrook,69055 Lakewood Gardens Drive,66700,Fukushima-shi,Pazinska,Osnovna škola Planeta X,844 Logan Road,3,G,Physical Education,2,Dennie,Otterwell,2026-07-08,2025-09-23,,Assistant professor,3
287,Phillipp,Speke,2008-09-15,70455518922,Peadar,665 Hermina Parkway,33400,Mijiang,Primorsko-goranska,Osnovna škola Rijeka,85 Spaight Park,3,I,Nursing,3,Jennilee,Kilbourne,2025-11-15,2026-02-27,,Associate professor,3
288,Manuel,Land,2008-10-06,15752474301,Barnard,07712 Rusk Way,22300,La Maná,Brodsko-posavska,Gimnazija Drvo,6 School Road,4,I,Accounting,3,Daile,Shoebrook,2025-10-01,2025-10-31,,Adjunct professor,4
289,Tammy,Phant,2011-02-26,38471553756,Jamaal,270 Fordem Crossing,66700,Libenge,Varaždinska,Srednja škola Mjesečina,941 Eastwood Alley,4,A,Philosophy,5,Eudora,Hodgon,2026-02-25,2026-07-27,,Assistant professor,1
290,Natty,Hogbourne,2012-03-17,43630145586,Gerrard,231 Marquette Point,55600,São Miguel,Krapinsko-zagorska,Tehnička škola Svemir,90 Calypso Park,1,D,Economics,2,Benedicta,Breese,2026-05-16,2026-03-23,,Docent,1
291,Mable,Jonas,2010-10-25,41230408485,Laurens,1 Dawn Point,12345,Montgomery,Karlovačka,Osnovna škola Planina,3 Tennessee Crossing,1,A,Physical Education,4,Malinde,Stoffer,2025-08-15,2026-07-20,,Lecturer,2
292,Erick,Quinn,2012-03-05,74714097518,Shep,563 Golf Drive,77000,Madaoua,Vukovarsko-srijemska,Tehnička škola Jupiter,36 Buena Vista Court,1,G,Engineering,1,Olag,Gauche,2026-05-16,2025-09-18,,Visiting professor,5
293,Elianora,Jessep,2009-09-06,89904436266,Obie,27 Basil Place,99000,Rehnān,Vukovarsko-srijemska,Umjetnička škola Oblak,0 Oxford Parkway,4,G,Mathematics,5,Christiana,Salling,2026-01-06,2025-08-25,,Predavac,5
294,Melina,Hamshar,2009-12-14,44554880547,Tyson,42 Pierstorff Circle,20000,Pagelaran,Bjelovarsko-bilogorska,Srednja škola More,3263 Lerdahl Trail,2,I,History,3,Werner,Quinnell,2026-04-26,2025-10-01,,Research professor,5
295,Kennedy,Tome,2011-08-28,99525406410,Ellis,204 Prairieview Circle,20000,Frederiksberg,Splitsko-dalmatinska,Osnovna škola Asteroid,8 Eagle Crest Alley,3,H,Dentistry,5,Mair,Deluca,2026-07-27,2025-12-21,,Adjunct professor,3
296,Stearn,Costan,2010-11-10,24628425023,Ignacio,5 Farmco Center,44500,Jifeng,Brodsko-posavska,Gimnazija Zvijezda,2090 Forster Trail,3,H,Political Science,4,Aldus,Houseman,2026-06-18,2026-03-03,,Research professor,5
297,Jilleen,Dizlie,2009-03-26,23857691406,Worth,158 Hazelcrest Hill,99000,Gozdnica,Požeško-slavonska,Srednja škola More,1 Forster Terrace,4,A,Accounting,3,Ralph,Ugo,2026-06-14,2026-07-23,,Lecturer,3
298,Peggy,Muehle,2009-06-18,15732414262,Whittaker,04 Clarendon Place,11000,Nam Khun,Brodsko-posavska,Srednja škola Zemlja,69986 Blue Bill Park Avenue,4,G,Computer Science,5,Alexei,Tilte,2026-04-30,2025-08-16,,Lecturer,1
299,Carolyn,Kimm,2011-03-29,99313289489,Rupert,21904 Jana Trail,12345,Miraflores,Dubrovačko-neretvanska,Umjetnička škola Mjesec,4938 Mallory Circle,4,A,Chemistry,3,Ailee,Tulip,2025-08-04,2026-04-14,,Lecturer,2
300,Coraline,Kupec,2010-01-07,42101244182,Conroy,2410 Sage Park,54321,Sumberbaru,Pazinska,Osnovna škola Šuma,306 Novick Crossing,3,F,Art,1,Juline,Clerke,2026-01-31,2026-01-30,,Associate professor,1
301,Suzanna,Pond-Jones,2008-05-19,14401822212,Fred,52 Farmco Center,11200,Klokot,Istarska,Gimnazija Drvo,8133 Victoria Terrace,1,A,Philosophy,2,Ogdan,Pilling,2026-05-07,2025-12-10,,Asistent,1
302,Paten,Jelley,2012-08-08,51834329482,Garner,24 Manley Junction,55000,Grabovci,Pazinska,Umjetnička škola Oblak,6 Summerview Parkway,4,J,Computer Science,1,Allianora,Kellet,2025-12-24,2026-05-02,,Asistent,3
303,Blanche,Erwin,2008-01-09,15008885461,Willis,5 Pine View Street,12345,Orerokpe,Požeško-slavonska,Gimnazija Komet,370 Basil Drive,3,I,Sociology,4,Whitman,O'Shevlan,2026-06-05,2025-11-08,,Research professor,5
304,Flint,Alchin,2008-12-06,51410955862,Luther,6 3rd Way,11000,Gangbei,Dubrovačko-neretvanska,Osnovna škola Saturn,1 Old Shore Trail,2,A,Anthropology,3,Cathie,Wehden,2025-10-29,2026-05-15,,Docent,2
305,Virgil,MacGilmartin,2012-05-25,40513795421,Reinaldos,64931 Sullivan Place,99000,Wufu,Koprivničko-križevačka,Osnovna škola Sunčeva svjetlost,8395 Lawn Point,1,B,Mathematics,4,Lynelle,Dovey,2026-04-17,2026-06-21,,Visiting professor,2
306,Mikey,Caren,2010-11-07,23833952662,Seumas,8115 Ridgeway Court,44500,Tiraspol,Zagrebačka,Osnovna škola Ptica,5992 Bartelt Circle,2,I,Philosophy,2,Nola,Conville,2025-09-05,2025-08-28,,Profesor emeritus,4
307,Mahmud,Morefield,2009-02-09,87003931277,Clem,791 Grayhawk Street,35000,Beroroha,Splitsko-dalmatinska,Osnovna škola Rijeka,25 Macpherson Circle,4,D,Music,4,Revkah,Backman,2025-09-26,2026-05-10,,Profesor emeritus,2
308,Mirella,Blasing,2011-03-10,70012023661,Jasper,63 Rieder Circle,77000,Vrakháti,Sisačko-moslavačka,Osnovna škola Sunce,94 Eagle Crest Alley,4,B,Physics,2,Garrott,Postan,2025-09-13,2025-11-01,,Visiting professor,1
309,Chelsy,Dinwoodie,2008-12-01,61344268092,Ben,3302 Lien Trail,77800,Darfield,Lika-senjska,Tehnička škola Jupiter,39901 Rockefeller Junction,3,I,Political Science,1,Beltran,Trumble,2026-02-16,2025-09-14,,Visiting professor,4
310,Thornie,Lenchenko,2012-09-08,80476445766,Julius,97357 Fair Oaks Park,44000,Zoumaling,Splitsko-dalmatinska,Srednja škola Proljeće,23349 Green Alley,1,B,Veterinary,1,Ari,Ring,2025-12-31,2025-12-21,,Visiting professor,4
311,Jobie,Steenson,2012-03-12,46240613932,Hugo,666 Maryland Pass,99000,Graz,Varaždinska,Gimnazija Cvijet,96 Manitowish Drive,2,I,Environmental Science,3,Kandace,Valentin,2026-06-06,2026-02-06,,Adjunct professor,4
312,Thorsten,Mose,2012-05-19,38111069370,Bert,056 Kedzie Point,33400,Daxing,Koprivničko-križevačka,Osnovna škola Crna rupa,29 Cascade Lane,4,B,Geography,3,Liesa,McRavey,2026-01-25,2026-05-08,,Assistant professor,1
313,Alec,Cuckson,2008-02-14,20702442394,Gradeigh,541 Hagan Trail,33400,Zama,Osječko-baranjska,Srednja škola Zemlja,54 Autumn Leaf Terrace,1,E,Engineering,2,Dolly,Laurisch,2025-11-23,2026-02-12,,Lecturer,4
314,Chelsea,Mellmer,2009-12-30,46644094939,Myrwyn,69 Lakewood Gardens Terrace,20000,Wujiayao,Šibensko-kninska,Srednja škola Supernova,1379 Homewood Alley,2,H,Philosophy,3,Birgitta,Clapston,2026-06-17,2026-04-12,,Predavac,2
315,Carree,Wragge,2011-08-30,20581279474,Huey,2 Sundown Point,44000,Saint Ann’s Bay,Brodsko-posavska,Tehnička škola Kiša,8843 Maryland Terrace,4,C,Environmental Science,1,Teressa,Cameron,2026-05-16,2025-10-13,,Lecturer,4
316,Dorri,Renachowski,2011-05-04,26324006277,Isiahi,016 Comanche Parkway,11000,Rio Real,Brodsko-posavska,Srednja škola Zemlja,4 Norway Maple Park,1,F,Marketing,2,Kristoffer,Wilde,2026-03-22,2026-01-13,,Research professor,1
317,Miltie,Badsworth,2008-04-25,29536637064,Zeke,2 Bellgrove Street,55000,Cigeulis,Vukovarsko-srijemska,Gimnazija Jesen,5 Erie Avenue,1,H,Nursing,5,Rossie,McCorkindale,2025-10-12,2025-08-07,,Research professor,2
318,Kristien,Purvey,2008-09-07,76290110665,Monti,7 Tomscot Lane,11000,Slavonice,Karlovačka,Gimnazija Zvijezda,69078 Bunker Hill Drive,4,H,Marketing,5,Lucie,Macek,2026-07-24,2026-06-14,,Assistant professor,3
319,Shamus,Munton,2009-07-01,99309217367,Hendrick,444 Donald Point,11200,Salyan,Požeško-slavonska,Osnovna škola Sunce,45402 Debra Hill,3,H,Dentistry,2,Ric,Dowthwaite,2025-11-30,2026-02-28,,Associate professor,4
320,Bernarr,Screase,2009-09-04,93015676050,Spense,0780 Lunder Way,88000,Beloha,Bjelovarsko-bilogorska,Srednja škola Brdo,26111 Elmside Plaza,1,D,Veterinary,5,Kristien,Larrad,2026-06-05,2025-12-13,,Research professor,1
321,Lorinda,Chezelle,2011-08-14,25059112330,Bram,7 Dwight Terrace,77000,Schaumburg,Vukovarsko-srijemska,Tehnička škola Svemir,56 Barnett Road,1,A,Physics,3,Averell,Sucre,2026-07-28,2025-12-14,,Adjunct professor,1
322,Bale,Bernardi,2010-09-04,80644020394,Osgood,07557 Forest Dale Way,99000,Pórto Chéli,Dubrovačko-neretvanska,Srednja škola Meteor,544 Bobwhite Lane,2,C,Music,1,Haleigh,Akenhead,2025-10-06,2026-03-05,,Adjunct professor,5
323,Corrianne,Wey,2010-04-04,72622448873,Stephan,801 Kings Lane,55000,Sävsjö,Koprivničko-križevačka,Umjetnička škola Mars,4063 Cody Drive,2,I,Economics,1,Adore,Snalom,2026-04-09,2025-11-18,,Asistent,5
324,Emmett,Tout,2010-08-14,34050035457,Stevy,54113 Glacier Hill Hill,99000,Termas de Río Hondo,Zagrebačka,Osnovna škola Pustinja,2355 Arizona Street,1,A,Architecture,2,Ancell,Brandon,2026-05-14,2025-10-06,,Research professor,4
325,Claudine,Jakoviljevic,2012-11-16,86971960898,Alan,954 Randy Way,11200,Massy,Međimurska,Srednja škola Mjesec,3079 Maple Wood Drive,2,G,Sociology,5,Atlante,Giroldi,2025-11-03,2025-08-06,,Adjunct professor,3
326,Sterling,Trevaskiss,2010-11-06,61343420139,Xavier,81 Ohio Trail,22300,Fengli,Primorsko-goranska,Osnovna škola Zima,55056 Sunbrook Pass,4,B,Architecture,2,Greta,Arrington,2026-02-06,2026-01-20,,Lecturer,2
327,Felicio,Avarne,2009-06-22,28686263287,Izaak,1261 Crest Line Circle,99000,Perivóli,Primorsko-goranska,Osnovna škola Cvijet,75608 Granby Court,1,J,Psychology,4,Dorelle,Di Nisco,2026-06-25,2025-09-07,,Docent,5
328,Adora,Sellers,2012-12-15,77282952505,Travers,08969 Del Mar Way,35000,Niños Heroes,Bjelovarsko-bilogorska,Osnovna škola Asteroid,56391 6th Terrace,1,G,Business,3,Osbourne,Timpany,2025-09-16,2025-10-10,,Research professor,2
329,Karissa,Brouwer,2012-04-01,71857191157,Lincoln,273 Hanson Circle,44500,Shinaihai,Koprivničko-križevačka,Umjetnička škola Mjesec,192 Parkside Hill,4,A,English,5,Sean,Starrs,2026-05-21,2026-07-07,,Visiting professor,5
330,Randell,Wylie,2009-07-05,77759638093,Boyce,64 Beilfuss Street,88900,Menampukrajan,Varaždinska,Tehnička škola Val,3 Esker Street,2,J,Music,5,Gael,Scholl,2025-08-07,2025-11-14,,Associate professor,4
331,Beverly,Goricke,2011-08-20,41557549751,Stu,4 Messerschmidt Park,11000,Tambillo,Koprivničko-križevačka,Osnovna škola Pustinja,88586 Waubesa Road,4,C,Geography,1,Marabel,Powis,2025-09-05,2026-01-16,,Lecturer,2
332,Nola,Dumbellow,2008-10-04,78086802179,Guillermo,873 Summit Pass,44000,Safotu,Splitsko-dalmatinska,Tehnička škola Oblak,83 Grayhawk Park,1,C,Geography,1,Geoff,Scadden,2026-07-02,2026-02-22,,Adjunct professor,1
333,Eve,Rosenfield,2011-02-23,36148795470,Buddie,158 Fair Oaks Avenue,55600,Baratã,Lika-senjska,Umjetnička škola Oblak,6118 Northview Center,3,I,Astronomy,4,Dalia,Cragg,2025-10-01,2026-01-14,,Assistant professor,2
334,Caryn,Greste,2011-11-09,72771491520,Harvey,86 Center Drive,99000,Iḩsim,Karlovačka,Umjetnička škola Nebesko tijelo,2349 Warrior Place,1,F,Computer Science,2,Cristen,Callender,2025-08-14,2026-04-04,,Lecturer,3
335,Prudy,Normavell,2008-06-27,33686087415,Rafferty,91025 Graedel Way,20000,Baiyushan,Primorsko-goranska,Osnovna škola Sunce,71 Shasta Court,2,G,Music,2,Darby,O'Carran,2026-04-08,2026-07-26,,Research professor,1
336,Simone,Chance,2012-11-01,49835119301,Jorge,21424 Blackbird Place,99000,Ode,Sisačko-moslavačka,Gimnazija Drvo,3 Wayridge Junction,3,B,Music,5,Isak,Duro,2026-04-04,2026-07-26,,Adjunct professor,3
337,Helen,Birchenhead,2008-12-28,61672880656,Simon,8341 Laurel Park,55600,Mar’ina Roshcha,Istarska,Osnovna škola Ptica,69 Clyde Gallagher Terrace,4,E,Music,2,Carlo,Veart,2025-08-31,2026-02-16,,Predavac,4
338,Vevay,Passingham,2008-06-21,82557643440,Tait,125 Killdeer Alley,88000,Karangsembung,Pazinska,Osnovna škola Voda,1 5th Way,4,I,Sociology,1,Aurora,Grinishin,2026-01-15,2026-07-12,,Profesor emeritus,5
339,Mischa,Kellick,2012-10-07,75525469033,Trueman,573 Ridgeview Drive,99000,Xiongchi,Vukovarsko-srijemska,Tehnička škola Oblak,4 Truax Circle,3,D,Environmental Science,2,Sibelle,Fontelles,2025-09-19,2025-11-09,,Associate professor,3
340,Quintina,Craigie,2010-12-07,68685017436,Wainwright,8204 Grasskamp Junction,55600,Reconquista,Koprivničko-križevačka,Srednja škola Ljeto,8568 Gateway Pass,4,I,Psychology,2,Delano,Bagott,2025-10-21,2026-05-26,,Asistent,3
341,Bambie,Gaskamp,2008-10-23,87142797888,Barrie,553 Iowa Court,35000,Pingyi,Zagrebačka,Osnovna škola Ptica,480 Homewood Street,1,I,Mathematics,3,Shelley,Sorensen,2026-07-08,2025-08-25,,Research professor,3
342,Kristyn,Jamary,2010-06-20,33224109311,Wyndham,704 Manufacturers Street,55000,Koa,Lika-senjska,Gimnazija Jesen,8 Bunting Street,1,B,Physical Education,2,Napoleon,Atwood,2026-01-02,2025-12-17,,Visiting professor,4
343,Manuel,Fearne,2012-02-09,47813851438,Delmar,9570 Hoffman Center,77800,Pedra Azul,Zadarska,Srednja škola Supernova,116 Everett Center,3,D,History,1,Hillier,Arndell,2025-09-21,2026-06-16,,Profesor emeritus,3
344,Kilian,Runham,2011-01-06,51201125555,Gothart,68601 Melrose Plaza,88900,Ardino,Požeško-slavonska,Osnovna škola Planeta X,514 Glacier Hill Terrace,4,F,Physical Education,5,Rosalinde,McLeish,2026-07-03,2025-11-21,,Associate professor,5
345,Ewen,Feasby,2012-03-19,72402557322,Gerri,2164 Caliangt Junction,99000,Taounate,Brodsko-posavska,Osnovna škola Saturn,60 4th Place,4,H,Music,5,Adrianne,Filpo,2026-04-11,2025-12-15,,Visiting professor,4
346,Nehemiah,Brixey,2011-09-03,72891304751,Saxe,789 Erie Parkway,22300,Beixiang,Osječko-baranjska,Srednja škola More,29854 Heath Pass,1,I,Chemistry,5,Gerhardt,Passfield,2025-09-21,2025-08-26,,Profesor emeritus,1
347,Emmery,Peterson,2012-10-14,56150806486,Tore,6 Summer Ridge Center,66700,Soutocico,Međimurska,Umjetnička škola Mjesec,2717 Lakewood Gardens Crossing,3,D,Sociology,4,Miles,Noteyoung,2025-11-03,2026-03-24,,Asistent,4
348,Katina,Livings,2008-10-30,18654766762,Crosby,235 North Junction,12345,Mechrá Belqsiri,Sisačko-moslavačka,Umjetnička škola Oblak,390 3rd Drive,3,B,English,1,Linnet,MacKay,2026-03-05,2026-06-17,,Associate professor,2
349,Ely,Longmire,2009-11-04,89976990565,Brenden,407 Golden Leaf Road,77000,Yongfeng,Dubrovačko-neretvanska,Umjetnička škola Oblak,50543 Commercial Terrace,2,A,Political Science,2,Dallas,Mewha,2025-11-19,2025-09-13,,Asistent,5
350,Van,Boken,2008-05-26,58092671141,Perceval,27131 Oak Street,11000,Passo,Zagrebačka,Gimnazija Vjetar,1525 Maywood Hill,2,G,Veterinary,2,Lyssa,Delwater,2026-05-01,2025-09-26,,Asistent,3
351,Desdemona,Tipperton,2011-12-05,96611620390,Iorgos,8 Nancy Pass,77000,Shah Alam,Dubrovačko-neretvanska,Umjetnička škola Mars,663 Upham Terrace,3,F,Dentistry,5,Marven,Bancroft,2026-04-20,2026-01-20,,Assistant professor,5
352,Gertrud,Jarad,2011-05-28,19443931574,Wake,099 Bluejay Point,55000,Bīr Zayt,Zagrebačka,Tehnička škola Sunčev sustav,2511 Algoma Way,2,E,Anthropology,4,Aldo,Allworthy,2026-07-13,2025-11-21,,Assistant professor,2
353,Odelinda,Ranfield,2009-09-09,88812914086,Biron,004 Oneill Street,35000,Nikolayevka,Lika-senjska,Tehnička škola Sunčev sustav,56496 Kennedy Place,1,H,Philosophy,4,Madonna,Walas,2026-04-14,2026-04-08,,Asistent,3
354,Harlen,Papes,2008-05-12,17856071113,Othello,86 Evergreen Hill,88000,Lian’an,Zadarska,Srednja škola Mjesec,4 Messerschmidt Drive,3,D,Psychology,4,Alexandr,Challinor,2025-11-25,2025-12-02,,Visiting professor,1
355,Faith,Lodo,2010-03-20,60897754040,Aylmer,9 Pierstorff Avenue,22300,General La Madrid,Šibensko-kninska,Srednja škola Otok,0 Jenifer Terrace,4,H,English,2,Efrem,Keizman,2025-11-05,2026-03-12,,Associate professor,3
356,Mil,Janoschek,2008-09-13,48986090248,Beauregard,146 Doe Crossing Crossing,12345,Pagsañgahan,Krapinsko-zagorska,Osnovna škola Sunčeva svjetlost,5565 Mcguire Crossing,4,I,Computer Science,2,Berti,Vasiliu,2026-06-24,2026-05-26,,Assistant professor,2
357,Basia,Sleaford,2012-11-11,13736639287,Cecilius,4 Debra Road,77000,Pohrebyshche,Virovitičko-podravska,Umjetnička škola Nebesko tijelo,232 Monterey Place,4,B,Marketing,3,Shem,Dodshon,2026-03-05,2026-03-17,,Assistant professor,1
358,Hall,Preist,2012-09-08,87037655761,Jae,326 Vahlen Pass,99000,Guanta,Splitsko-dalmatinska,Osnovna škola Crna rupa,42840 Caliangt Park,3,C,Physical Education,3,Enrique,Wagon,2026-04-04,2026-07-07,,Predavac,5
359,Morena,Mingard,2011-01-05,16307899393,Corny,852 Sachtjen Junction,77000,Abéché,Istarska,Osnovna škola Voda,10 Division Way,2,E,Environmental Science,4,Jeremiah,Canada,2026-04-16,2025-08-04,,Research professor,4
360,Cherey,Quick,2009-11-06,27043599505,Conney,50 Anzinger Way,66700,Hovd,Primorsko-goranska,Srednja škola Planeta,3654 Linden Park,3,G,Dentistry,1,Danna,Abson,2025-12-08,2026-01-03,,Docent,3
361,Dukey,Caughan,2010-05-02,35295409808,Bard,0811 Hudson Circle,99000,Independencia,Šibensko-kninska,Srednja škola Proljeće,02296 Marcy Road,4,D,Business,4,Barry,Cater,2025-08-08,2026-05-21,,Adjunct professor,2
362,Bevon,Christy,2008-05-26,40287716290,Mathias,54674 Kim Drive,33400,Rennes,Bjelovarsko-bilogorska,Osnovna škola Ptica,51 Sunfield Center,4,H,Astronomy,4,Wallie,Ellerbeck,2026-06-21,2026-04-04,,Associate professor,5
363,Jarid,Curnokk,2009-05-05,14446934248,Marmaduke,15 Ridgeway Circle,33400,Bagakay,Brodsko-posavska,Osnovna škola Saturn,090 Jackson Terrace,1,A,Veterinary,5,Gianni,Eyles,2025-11-18,2026-04-23,,Asistent,1
364,Freddie,Tabbernor,2009-11-21,33353753964,Isac,95157 Tennyson Avenue,66000,Blagoveshchensk,Pazinska,Umjetnička škola Mjesec,51 Hooker Drive,2,G,Biology,3,Lamond,Reiners,2025-09-28,2025-08-30,,Profesor emeritus,3
365,Cherida,Cosham,2012-03-04,66757623062,Ulberto,933 Autumn Leaf Street,66000,Nor Yerznka,Osječko-baranjska,Umjetnička škola Mjesec,42025 Dapin Way,1,E,Engineering,4,Evelina,Pobjoy,2025-12-18,2026-05-21,,Research professor,4
366,Danita,Geekin,2008-08-16,51609557823,Shell,48833 Goodland Center,11000,Linqu,Virovitičko-podravska,Osnovna škola Planina,931 Northridge Center,4,I,Chemistry,1,Mallory,Guillard,2025-09-20,2025-08-17,,Profesor emeritus,1
367,Candace,Coldrick,2010-08-11,61858785014,Fitz,69 Forster Trail,88000,Krajan Bejagung,Šibensko-kninska,Osnovna škola Planina,09 Mockingbird Hill,3,J,Veterinary,4,Zollie,Carvill,2026-03-03,2026-05-23,,Profesor emeritus,2
